Prompt,Done
"""Poetry forms the quality of light within which we predicate our hopes and dreams toward survival and change, first made into language, then into idea, then into more tangible action,"" wrote the late poet Audre Lorde in her essay ""Poetry Is Not a Luxury."" ""The farthest horizons of our hopes and fears are cobbled by our poems, carved from the rock experiences of our daily lives."" As the New Year begins, heed Lorde's message. Poetry is the means by which we build a future, not just for ourselves, but also for the world at large. Take a moment now to think big. Write down all the hopes you have for the year to come and weave them together into a poem. Keep this poem with you as a guide—read it when you feel you're drifting off course.",
"“Poetry is when an emotion has found its thought and the thought has found words.” This quote from Robert Frost reveals the raw origins of poetry, and emphasizes the complex cerebral and emotional forces that inspire poems. Think of how poetry accommodates both the expansiveness and simplicity of our emotions. Use this unique and paradoxical phenomenon to write about a profound and complicated experience in your life: perhaps the death of a long-suffering loved one, or the graduation of a child, or the private self-confession of having fallen out of love. Start with a single emotion, and begin your journey there.",
"“Poetry isn’t a cure, and it isn’t a miracle…. But there are words, phrases, whole poems that—in the grimmest, loneliest, most shattered moments of my life—have offered me a lozenge of light,” writes Anndee Hochman in “The Poem Chooses You” in the March/April issue of Poets & Writers Magazine, about the national recitation competition Poetry Out Loud. Think of a poem that resonates with you emotionally, perhaps browsing through the Poetry Out Loud online database for ideas. Then, use your favorite words or phrases from the chosen poem as inspiration for your own poem filled with light and solace.",
"“Poets are supposed to avoid clichés—bits of language so hackneyed as to seem drained of meaning—but I’m fascinated by what hyper-familiar turns of phrase can reveal and conceal,” writes Hannah Aizenman about her poem “As a Father of Daughters,” published in the Academy of American Poets’ Poem-a-Day series. The poem uses the phrase in the title as a jumping-off point for a seemingly associative list that hinges on the levity of rhyme and continues to reveal more about the original phrase. “As a failure of rathers / As a faithful support / As we gather together / As a fear of disorder,” writes Aizenman. Write a poem inspired by a common phrase or idiom that challenges its meaning. What will be revealed or concealed?",
"“Renga for Obama” is an ongoing project edited by Major Jackson and published by the Harvard Review in which each linked segment is written by a pair of poets, creating a chain of verse meditating on Barack Obama’s presidency. Renga, a traditional Japanese collaborative form, consists of alternating three- and two-line stanzas: a haiku (5-7-5 syllables) followed by a couplet, each line of which consists of seven syllables, that responds to the haiku. This pattern can be repeated up to a few dozen or even hundreds of lines. Choose a current theme that you are interested in probing further with words and imagery—it could be political, aesthetic, domestic, environmental, or pop culture–related. Spend some time discussing, sharing reflections, and expressing gratitude or feelings about the topic with a friend, family member, or colleague. Write a renga together, and pass it on to others with an invitation to contribute to the chain, thereby initiating a continuing exploration.",
"“Rituals—or the tasks we perform repeatedly, not for what they accomplish but for what they mean to us—help athletes prepare their minds for the unknowns they’ll face when they perform,” writes psychiatrist Neha Chaudhary in a New York Times article about how rituals—such as “Steph Curry’s sinking a shot from the tunnel before each basketball game” or “Serena Williams’ bouncing her tennis ball five times before her first serve”—can help instate feelings of connectedness and calmness during anxiety-inducing times. Write a poem about a ritual that’s a part of your everyday life, or perhaps one that you performed regularly during a past phase of your life. How can you play with repetition, pacing, sound and rhythm, and white space to mimic the enactment and aftereffects of a ritual?",
"“Scientists have picked up a radio signal ‘heartbeat’ billions of light-years away,” reads an article headline published by NPR last Thursday from a report that astronomers at the Massachusetts Institute of Technology picked up radio signals that repeat in a clear periodic pattern similar to a beating heart from a galaxy billions of light-years from Earth. The discovery could help researchers determine at what speed the universe is expanding. Write a poem inspired by this headline in which you explore the metaphorical and literal ramifications of a “heartbeat” billions of light-years away.",
"“She is the speed of darkness— / witness her mystery, not her gown,” writes Christopher Gilbert in “Muriel Rukeyser as Energy” from his poetry collection Across the Mutual Landscape (Graywolf Press, 1984). The poem serves as a kind of ode to the influential poet Muriel Rukeyser, whose five-decade literary career is characterized by her involvement in political activism and mentorship. Through the anaphora of “she” and use of surreal imagery, Gilbert creates a mythological portrait that reaches beyond biography and reflects both Rukeyser’s influence and poetic character. Write a poem about a writer whose influence on you is significant. What imagery and syntax will you employ to properly reflect the character and impact of their work?",
"“She seems a part of me, / and then she seems entirely like what she is: / a white dog, / less white suddenly, against the snow,” writes Carl Phillips, recipient of the 2021 Jackson Poetry Prize, in his poem “White Dog” from his collection The Rest of Love (Farrar, Straus and Giroux, 2004). In the poem, the speaker recounts walking their dog during the first snow of the year and realizing through their relationship the limits of love and loss. Inspired by Phillips, write a poem featuring a beloved pet of yours or an animal you’ve befriended in which you learn something new.",
"“Someone was always, always here, / then suddenly disappeared / and stubbornly stays disappeared,” writes Wisława Szymborska in “Cat in an Empty Apartment,” translated from the Polish by Stanisław Barańczak and Clare Cavanaugh. Although we often think of inspiration in terms of an overheard fragment, a fleeting sentiment, a glimpsed object, a visit from a muse—the presence of some thing—many poets have found inspiration and emotional resonance in emptiness. “Implodes, and all the way to nothing. / To illumine, first, then fades to black. / Hole where light was. / Absent star, perforation in there,” writes Valerie Martínez in the title poem of Absence, Luminescent (Four Way Books, 1999). Diana Khoi Nguyen’s poems in Ghost Of (Omnidawn, 2018) delve into absence by presenting family photographs from which her brother had cut himself out before his death, followed by concrete verse that takes the shape of the excised silhouette or rectangular blocks of text that fill the shape of the negative space. Write a poem that takes inspiration from an absence or emptiness of a person, place, or feeling.",
"“Sometimes I still put my hand tenderly on my heart / somehow or other still carried away by America,” writes Alicia Ostriker in “Ghazal: America the Beautiful.” This Fourth of July, begin a poem with the title “America the Beautiful” and let this phrase guide your piece, allowing your mind freedom to reflect on the things you find beautiful (or not so beautiful) about the nation. Read through some other Independence Day poetry by writers such as Carl Sandburg, Walt Whitman, Claude McKay, and Rachel Eliza Griffiths for further inspiration.",
"“Spring is like a perhaps hand / (which comes carefully / out of Nowhere)arranging / a window,into which people look,” writes e. e. cummings, using the image of a hand and its actions to describe the nature of spring. His musings go on in the poem to make various imaginative leaps, but its twists and turns are held together by the shared exploration of a specific subject. This week, as spring comes on, try writing your own poem that begins with, “Spring is like…” and explores the season through simile.",
"“Start with loss. Lose everything. Then lose it all again,” writes John Murillo in his poem “Variations on a Theme by Elizabeth Bishop,” which appears in his collection Kontemporary Amerikan Poetry (Four Way Books, 2020), in which he directly quotes from and expands upon Elizabeth Bishop’s poem “One Art.” Using his own perspective, Murillo explores the theme of loss and uses intimate life details to make each event feel distinct, sometimes measuring one against the other as Bishop does in her poem. He writes: “Measure a father’s coffin against a cousin’s / crashing T-cells. Kiss your sister through prison glass.” This week, write a poem that directly responds to a favorite poem of yours. Try writing a variation of a line or directly quoting from the poem to get started.",
"“Take notes regularly. This will sharpen both your powers of observation and your expressive ability,” writes Lydia Davis in “Thirty Recommendations for Good Writing Habits” in Essays One (Farrar, Straus and Giroux, 2019). This week jot down several lists of different types of observations, such as your feelings, the weather, and your own reactions to the mundane behavior of others as you go about your day. Pay special attention to the facial expressions and small habits or routine movements of people you notice on your commute or while running errands. Write a poem inspired by one or two of these small observations.",
"“The American experiment will end in 2030 she said / looking into the cards, / the charts, the stars, the mathematics of it,” writes Jorie Graham in “Time Frame,” a poem in her latest collection, To 2040, out today from Copper Canyon Press. The book’s title suggests both a dedication and an urgent address, casting the poems therein as reflections on the age of the Anthropocene and calls to action to protect the earth’s natural wonders. Write a poem that illustrates and reflects on your vision of the future, whether hopeful or woeful. Use the open-endedness of this prompt to fold in as many aspects of the future as possible, including your personal journey and what you foresee for the natural world.",
"“The carnation had possessed me,” is a sentence from Amparo Dávila’s short story “The Breakfast,” illustrated in a New York Times piece by Tamara Shopsin. Through her illustrations, Shopsin presents quotes from Dávila’s story collection The Houseguest (New Directions, 2018), translated from the Spanish by Audrey Harris and Matthew Gleeson, that imbue mundane plants with a sense of strange terror. Another sample is from the short story “The Cell”: “She was like ivy attached to a giant tree, submissive and trusting.” Select one of the lines—or jot down your own menacing plant simile or metaphor—and use it as a starting point for a poem.",
"""The city's old, / but new to me, and therefore / strange, and therefore fresh,"" Margaret Atwood muses in her poem ""Europe on $5 a Day."" Today write about being a visitor in a strange new city, walking the streets, and observing the locals going about their daily tasks. Describe in detail the smells in the air, the sounds clouding around you, and the unique images that meet your eyes. The goal is to make your reader feel like they are also seeing this place for the first time, even if they have been there before.",
"“The day the last friend / dies / we sit alone. / A visitor / from outer space / tries hard / to summon us. / Someone says / EAT DEATH. / I fish around for answers / but the questions / still won’t come,” writes Jerome Rothenberg, who passed away in April, in his poem “The Last Friend.” Included in his collection of one hundred poems, A Book of Witness: Spells & Gris-Gris (New Directions, 2022), the poem presents a list of statements and observations, many of which refer to death or dying in some personal way, though the connections are enigmatic and the logical progression is oblique. Try your hand at writing a poem that mentions its subject directly, but which also deliberately obfuscates or remains ambiguous in its intentions. How might using the “I” as a witness include the reader into your point of view?",
"“The Greeks / had it wrong: / catastrophe // is not a downturn, / not a fall / from grace,” writes Monica Youn in her poem “Portrait of a Hanged Woman” from her third collection, Blackacre (Graywolf Press, 2016). The poem begins with a reference to the etymology of the word “catastrophe,” which comes from two Greek words meaning “down” and “turning.” Youn uses this starting point to depict the emotional turmoil behind a time when one’s life unravels. This week, write a poem that begins by breaking down the etymological root of a word. Is there a contrast between what the word means to you and its origins? For further inspiration, watch a video of Youn reading this poem in a conversation with Robert Pinsky.",
"“The happiest places incubate happiness for their people,” writes Dan Buettner in National Geographic about findings from the annual World Happiness Report that revealed that three-quarters of human happiness is driven by six factors. These include: strong economic growth, healthy life expectancy, quality social relationships, generosity, trust, and freedom to live the life that’s right for you. Write a poem that examines how your personal happiness is connected to your location and environment. How does living in your home, neighborhood, city, state, or country affect your general feelings of contentment or joy? Think of specific memories of happiness, and explore how a particular location might have contributed in direct or indirect ways to your feelings.",
"“The jacket doesn’t have many wears left. Its small fissures have become large ones. Its fading has become even more pronounced. And yet, I am putting it through the rigors of my living,” writes Hanif Abdurraqib, about a 1978 vintage Bruce Springsteen nylon jacket he procured, in a piece published for the Yale Review’s “Objects of Desire” series, in which writers “meditate on an everyday item that haunts them.” This week compose a poem about one such haunting object in your life. Abdurraqib describes being drawn to vintage clothing because it is a way of “extending the life of an item that someone else decided they were finished with” and “a bridge from one existence to another.” Is there a beloved item of yours with a history? Think about how you can play with diction, rhythm, and formatting to express why you hold on to this object.",
"“The journey runs right through the eye of desolation. The murdered albatross is a bottomless symbol: It stands for everything you greedily grabbed at, everything you squandered or spurned, every ornament of the ego, every plastic water bottle, every corrosive pleasure, every idle meanness,” writes James Parker in “The 1798 Poem That Was Made for 2020,” his essay at the Atlantic about the “Ancient Mariner” Big Read, a collective online reading of Samuel Taylor Coleridge’s epic curated and produced by the University of Plymouth. Write a poem that revolves around a bottomless symbol—perhaps an animal, a plant, or everyday object—inspired by the ancient mariner who “is condemned to tell his tale, to recite his rhyme, over and over again.”",
"“The light / that points / the way // in the fog. / The light / in the fog // that thickens / and reveals / the fog’s // cold breath. / The fog / as well.” Jeffrey Thomson’s poem “What is Poetry? Part 2,” selected by Naomi Shihab Nye for the New York Times, locates possibilities for poetry everywhere, from all angles, in all subjects. Think of an image from your memory and write a poem that finds resonance as you dig deeper into the details. What happens when you explore an unexpected perspective of this memory? What new facets can you uncover?",
"“The Love Song for Shu-Sin”—written around 2000 BCE in ancient Mesopotamia—is considered the oldest love poem that exists in text form, but also functioned as a song performed during a sacred marriage ceremony for Shu-Sin, a ruler in the city of Ur. Read through Sumerologist Samuel Noah Kramer’s translation and think about the elements of the writing that tie it to its specific time and context. What feels ancient about the poem? Can you extrapolate or interpret its meanings in a way that reflect your own experiences of contemporary love? Write a love poem that meditates on love as it might have been expressed four thousand years ago versus how you see it today.",
"“The mellow autumn came, and with it came / The promised party, to enjoy its sweets. / The corn is cut, the manor full of game; / The pointer ranges, and the sportsman beats / In russet jacket:—lynx-like is his aim; / Full grows his bag, and wonderful his feats. / Ah, nut-brown partridges! Ah, brilliant pheasants!” writes Lord Byron in his epic poem “Don Juan.” The poem, which satirizes the legendary Don Juan and portrays him as a character easily seduced by women, is told in seventeen cantos and this section describes a party at an English countryside estate. Use Byron’s line about a mellow autumn as the first line of your poem. Continue on from there and write about a festive autumnal gathering, perhaps using Byron’s mentions of outdoor recreation and landscape, animals and nature, a country or rural setting, or the ottava rima rhyme scheme for further inspiration.",
"“The most wasted of all days is one without laughter,” wrote E. E. Cummings. Timing is important both in comedy and in poetry. Though poets often engage with serious subjects, a well-placed moment of levity can make a poem even more poignant. This week, try to incorporate humor in your own writing. It can be a funny image, a pun, or a parody. See how this moment affects the tone of your poem, or how it leads you in a new, unexpected direction.",
"“The name means ‘odd.’ / The name means ‘queer.’ / It can denote an ‘odd fish,’” writes Mark Wunderlich in his poem “Wunderlich.” The poem serves as an exploration of the poet’s last name, interlacing a historical overview of his family’s ancestry with suggestive definitions that compound and contradict. “The name means ‘electric organ maestro.’ / The name means ‘famous botanical illustrator.’” This week write a poem inspired by your last name. Allow yourself to get carried away with fact and fable, letting your imagination spin a new history for your family name.",
"“The only way to know tenderness is to dismantle it,” writes Diane Seuss in “White violet, not so much an image” from her 2015 poetry collection Four-Legged Girl about how the flower is “not so much an image of tenderness as an image of a memory of tenderness.” In the poem, she dissects the flower petal-by-petal, trying to capture its fragility, and associating between the metaphors and memories this act conjures. This week, write a poem about the memories a particular flower conjures for you. Like Seuss, let yourself associate as freely as possible considering all the senses and try to go beyond the traditional portrait of a flower.",
"""The only weapon that we have in our hands this evening is the weapon of protest,"" Martin Luther King Jr. said in a speech on December 5, 1955, in Montgomery, Alabama. Poetry can be a powerful vehicle for protest and social change. Write a poem in which you confront a subject that inspires personal objection. The topic does not have to be strictly political. For instance, Dylan Thomas’s villanelle “Do not go gentle into that good night” protests the death of the poet’s father: “Do not go gentle into that good night / Rage, rage against the dying of the light.” See how you can wield and transfer oppositional energy into language and form.",
"“The poem is an opportunity to turn from memoiristic transcription of information towards a kind of ultimate artifact, charged and changed by the imagination,” says Ocean Vuong about his approach to storytelling in this interview by Kadish Morris for the Guardian. Vuong offers his poem “American Legend” as an example in which the speaker drives his father to put down their dog and crashes the car, which becomes “a kind of parable for American failure.” In actuality, Vuong does not drive but uses the story to consider relationships between fathers and sons. Inspired by this concept of imaginative writing, write a poem that deliberately alters an event in your life. How can your expansion of this event make for a deeper parable?",
"“The poet is the priest of the invisible,” wrote Wallace Stevens. This week, try to write about an invisible force that affects you deeply. For example, it could be your DNA, music, or the smell of your childhood home. Try to imagine the complexity of the invisible (at least to the naked eye) structure that you are describing. Integrate all of your senses to navigate its visual formlessness.",
"“The sun had just gone out / and I was walking three miles to get home. / I wanted to die. / I couldn’t think of words and I had no future / and I was coming down hard on everything.” In Linda Gregg’s poem “New York Address,” which appears in her retrospective collection, All of It Singing: New and Selected Poems (Graywolf Press, 2008), the speaker recounts bleak existential angst. Despite the pain and darkness, there are glimmers of light. In the second half of the poem, questions are stubbornly answered with snappy, tidy pacing: “Yes I hate dark. No I love light. Yes I won’t speak. / No I will write.” Write a poem that goes all in on angst, channeling a time that felt overwhelmingly uncertain and full of trepidation. How can you experiment with sound and diction to gently steer the dramatic toward the life-affirming?",
"“The Tell-Tale Heart,” “The Pit and the Pendulum,” “The Raven,” “The Masque of the Red Death.” Each episode in filmmaker Mike Flanagan’s The Fall of the House of Usher, a new television miniseries based on Edgar Allan Poe’s eponymous story, is named after a famed poem, story title, or line penned by the master of the macabre. While Poe lived and wrote during the first half of the nineteenth century, his lyrical words continue to resound in all their gothic-horror glory in contemporary times. Browse through Poe’s works—all of which are in the public domain and freely available to read online—and write a poem inspired by his favorite themes of love, death, uncertainty, guilt, sickness, regret, revenge, and the subconscious. If you’re having trouble getting started, choose one of Poe’s famous lines as the first line of your poem.",
"“There is symbolic as well as actual beauty in the migration of the birds, the ebb and flow of the tides, the folded bud ready for the spring. There is something infinitely healing in the repeated refrains of nature—the assurance that dawn comes after night, and spring after winter,” wrote Rachel Carson in The Sense of Wonder in 1956. Write a poem centered around one image or sensation you associate with the spring season, using diction and rhythm to evoke the repeated refrains, patterns, and cycles of nature. Explore both the symbolic and physical beauty of your image.",
"“There’s only one rule that I know of, babies—God damn it, you’ve got to be kind.” Take to heart Kurt Vonnegut’s words, from his 1965 novel, God Bless You, Mr. Rosewater, or Pearls Before Swine, and spread some kindness through your poetry. Pick someone you admire and write a poem to this person about all the things you want to say to him or her, no matter how personal or embarrassing. Try to avoid focusing on physical appearance or material possessions, and instead celebrate the personality traits or the fond memories you’ve shared. Consider sharing your poem with this person, or at least say some of the lovely things you’ve written to him or her. Kind words have such power; they can lift your spirits, boost your self-esteem, and even change your life—and your poem.",
"“They are everywhere—those sunflowers with the coal heart center,” Eve Alexandra muses in her poem “Botanica.” A symbol of loyalty and longevity, sunflowers are considered among the happiest of flowers, and provide energy in both nourishment and vibrancy. Vincent van Gogh, Paul Gauguin, and Gustav Klimt famously represented these flowers in works of art, and they have cropped up in poems by William Blake and Allen Ginsberg. This week, incorporate sunflowers into a poem. Consider their bright yellow coloring, their sturdy stalks, and their delicious seeds.",
"“They say a poet / can never write a purely happy poem about a dog / greeting the sun and what it has done to rain,” writes Analicia Sotelo in her poem “Grace Among the Ferns” published in the Academy of American Poets’ Poem-a-Day series. “I don’t know about that.” The poem is inspired by Sotelo’s dog Grace, who nuzzles her body through ferns on a sunny day, and how she seems to effortlessly enjoy the pleasures of springtime. Inspired by Sotelo’s poem, challenge yourself to write a joyful poem. Will your poem include a beloved pet?",
"“This place in which I dream the new body — whole & abiding — // I am reaching for the boy now as warden to both the living / & the afterliving…” Khaty Xiong’s poem “On Visiting the Franklin Park Conservatory & Botanical Gardens” is the basis for an interactive installation currently on view at the Poetry Foundation in Chicago. Visitors can write poems and messages exploring grief on paper cutouts of plants and animals which are then displayed in the gallery. Draw or cut out a paper template in the form of something from nature, and write a poem within its frame addressing or dedicated to a lost loved one. Does your poem, and the emotions contained within it, take shape in different ways according to the shape of your paper?",
"“This table has been a house in the rain, an umbrella in the sun. // Wars have begun and ended at this table. It is a place to hide in the shadow of terror. A place to / celebrate the terrible victory.” In her seminal poem “Perhaps the World Ends Here,” Joy Harjo explores the shared history of humanity through the image of a kitchen table. “We have given birth on this table, and have prepared our parents for burial here. // At this table we sing with joy, with sorrow. We pray of suffering and remorse. We give thanks,” writes Harjo. Write a poem that explores the joyful and sorrowful history of a past or present family home. What stories do the rooms, tables, and walls of your home tell you?",
"“This where all the roadside memorials are, / pink wreaths and dirty teddy bears. // This where a man walked when he wanted to fly,” writes Tyree Daye in his poem “Ode to Small Towns,” which appears in his collection Cardinal (Copper Canyon Press, 2020). Daye uses the repetition of “this where” to fold in various threads of distinct stories, making it feel as if the poem was written while driving through a series of towns and telling the tales as they surfaced. Inspired by Daye’s poem, write an ode to the small towns you’ve encountered while on the road. What kinds of stories do you picture when you pass through?",
"“Though you have known someone for more than forty years, though you have worked with them and lived with them, you do not know everything. I do not know everything—but a few things, which I will tell,” writes Mary Oliver about her partner Molly Malone Cook in her book Our World (Beacon Press, 2009), which celebrates their life and home together in Cape Cod through Oliver’s essays and Cook’s photography. Write a poem about someone you have known for a long time, but who is no longer in your life. Begin first by forming two lists: one list for the things you knew about this person and a second list of what you did not know. Select several items from each list and compose a poem that paints a portrait through the lens of your relationship. What are the things that were shared, imparted, revealed, and hidden?",
"“To start with two lines then in black and white / and continue to see a way in them.” So begins Michael Joyce’s collection Biennial (BlazeVOX, 2015), which is comprised entirely of two-line poems. As Joyce explains in the introduction of his book, he decided to write one two-line poem per day, every day, for two years. This week, try writing your own two-line poems, one per day, and observe how they relate to each other. Perhaps the poems combine into a larger sequence or each stands alone. If this daily habit feels generative, keep going for a full month!",
"“Today we’re going to get to work on the details / of your expression. And believe it or not, / the only colors we’re going to use will be / blacker than most blacks,” writes Terrance Hayes in his poem “Bob Ross Paints Your Portrait,” published in Paris Review’s Summer 2022 issue. In the poem, Hayes writes in the voice of American painter and television host Bob Ross, whose show The Joy of Painting aired on PBS in the 1980s and 1990s, as he delivers instructions on how to paint a portrait of the poet. This week, inspired by Hayes, write a poem in the form of a self-portrait. Try using instructional language to describe yourself, allowing any emotions that arise to make their way into the poem.",
"“Truth can be lazy because it becomes satisfied with itself, and it is often so tethered to time and space that to demand one truth can often invisibilize another’s truth,” says Natalie Diaz in “Energy,” an interview by Jacqueline Woodson in the March/April issue of Poets & Writers Magazine. “When and where does truth begin, and whose truth is it?” Think of an issue in your life that you feel conflicted over, an idea or state of being that you have long held to be true, whose solidity you have begun to question. Write a poem that attempts to demand more from this perceived truth, exploring how it entered your belief system. To whom is it tethered?",
"“Up late scrolling / for distraction, love, hope, / I discovered skew dice. // In the promotional video / you see only a mathematician’s hands, / like the hands of god,” writes Catherine Barnett in “2020,” a poem published in the Academy of American Poets’ Poem-a-Day series. As a way of illustrating the loneliness felt during the early days of the pandemic, the poem focuses on the central image of skew dice, a set of irregularly shaped dice that are mirror images of each other. Write a poem that revolves around one central object. Try to be detailed about its uses and origins. Let the poem guide what the image of this object represents for you.",
"“We moved / into the next song without / stopping, two chests heaving / above a seven-league / stride,” writes Rita Dove in “American Smooth,” the title poem of her 2004 poetry collection, capturing the thoughts of a dancer and their partner as they achieve “flight, / that swift and serene / magnificence.” This week, inspired by Dove, write a poem that catalogues getting lost in the joy of dancing. Whether alone or with a partner, describe the moments between taking the first step and the music ending. Play with varied syntax and the senses to communicate the experience of the body.",
"“We tend to treat odor in general as a sort of taboo,” writes Scott Sayare in a New York Times Magazine article about a woman who discovered she could smell Parkinson’s disease, in some cases over a dozen years before medical diagnosis. “Modern doctors are trained to diagnose by inspection, palpation, percussion and auscultation; ‘inhalation’ is not on the list, and social norms would discourage it if it were.” This week, focus your attention on your sense of smell as you go about your days, perhaps even ignoring social norms as you inhale all the odors around you. Then, write a poem that focuses solely, or primarily, on smell—perhaps juxtaposing scents that are in your everyday life now and those from a more distant past.",
"“Well, I only write about cute boys and snowy streets, so my poems are always in tune with each other. Seriously, though, I find myself returning to the same subjects. I try to vary my approach to these subjects,” poet Chen Chen says in an interview in the Adroit Journal. Select a poem you’ve written in the past and write a new poem that returns to the same subject from a different angle. Has your perspective become more nuanced over time? How does altering your point of view, verse form, or language provide your topic with a refreshed perspective?",
"“What I adore is not horses, with their modern / domestic life span of 25 years. What I adore / is a bug that lives only one day,” writes Natalie Shapero in her poem “Not Horses,” published in the November 2013 issue of Poetry magazine. Shapero redirects the reader from horses to the short lifespan of a bug within the first few lines of the poem and in doing so creates a humorous tension between the title and the body of the poem that adds character to the unique speaker. This week write a poem that moves quickly from one subject to the next. Consider how your mind shifts from one thought to another and carry that tone forward into the poem.",
"“Whatever comes to pass: you know your time, / my bird, you put on your veil / and fly through the mist to me,” writes Ingeborg Bachmann in her poem “My Bird,” translated from the German by Mark Anderson and published in the Summer 1984 issue of the Paris Review. In the poem, twilight passes into dawn as the narrator follows the owl through its many nightly transformations and their relationship is described by Bachmann in uncommon and evocative ways, such as “my nighttime ally,” “my ice-gray shoulder companion,” and “my weapon.” This week, write a poem about a bird that you think of as a companion. Try addressing the bird directly as Bachmann does in her poem.",
"“When in danger the sea-cucumber divides itself in two: / one self it surrenders for devouring by the world, / with the second it makes good its escape,” writes Wisława Szymborska in “Autotomy,” which appears in her collection Map: Collected and Last Poems (Houghton Mifflin Harcourt, 2015), translated from the Polish by Clare Cavanagh and Stanisław Barańczak. In the poem, Szymborska reflects on the creature’s process of autotomy, casting off a part of the body while under threat, through the lens of survival and mortality. She writes: “It splits violently into perdition and salvation, / into fine and reward, into what was and what will be.” Write a poem inspired by an animal’s unique behavior, perhaps the molting of a snake or the colorful courtship habits of a bowerbird. What does this behavior symbolize for you?",
"“When we name things simply, with words preceding their meaning, a cosmic narration takes place. Does the discovery of origins remove the dust?” writes painter and poet Etel Adnan in Shifting the Silence (Nightboat Books, 2020). “It reminds me of a childhood of emptiness which seems to have taken me near the beginning of space and time.” Following her thoughts as they “drip, not unlike the faucet,” Adnan demonstrates the power in trusting clear language, without ornament, and in doing so she offers a testament to poetry as a space built by the self for illumination and inwardness. Spend some time in a space where you can observe nature and take note of your surroundings. With Adnan’s words in mind, write a poem that considers what you see without concentrating on its meaning, when you “remove the dust.” How does this exercise strip the poem’s voice to its essential parts?",
"“When you cut into the present, the future leaks out,” William S. Burroughs stated about the cut-up technique. This method of writing poetry uses the cutting and layering of pieces of printed text to reveal meaningful insight. This week, take a printed work of writing and tear it apart. Then reassemble it in a fashion that communicates something deeper. With some clever rearranging, these cut-up words and phrases will reveal their own message.",
"“When you get into the occult community and the literature, it’s not just about ‘talking’ to or ‘communing’ or ‘feeling’ spirits. It’s also at the other extreme, evocation,” writes Katy Bohinc in “Poetry as Magic” in the Poetry Foundation’s Harriet blog. “Evocation is the practice of calling a spirit into a room, getting its signature on a piece of paper, interpreting its messages as divination, and then sending the spirit into the world to do your bidding.” Have you ever felt yourself in the presence of a spirit, or seen evidence of one? Write a poem that revolves around a real or imagined evocation of a spirit. What do you ask of this spirit?",
"“Whenever I find myself at a literary crossroads, I reach for my Tarot deck. In my regular life, I’m a staunch scientific materialist…but in my creative life, I’m an unqualified mystic,” writes Will Dowd in a 2017 installment of Writers Recommend. In fact, there are many writers who have found inspiration in the Tarot, including W. B. Yeats, Italo Calvino, and Charles Williams. Try your hand at choosing a card to guide you for this week’s poem. Conduct an online search for a card and allow the image to be your muse. Their names, such as Temperance, Wheel of Fortune, the Magician, and Death,­ may be enough to conjure up ideas.",
"“Where are you from / is a question I field too much. Once / I said Vietnam and the white man said I fought there. / I loved the country. I love their people. / That’s the day I started to lie / about my birth,” writes Kien Lam in his poem “Lunar Mansions,” published in the May/June 2018 issue of the American Poetry Review, in which he recounts the apocryphal story of his birth. Lam weaves in the story of the birth of Jesus, often conflating it with his own: “In the stable / the horses kicked me from their wombs,” he writes. Write a poem that tells the apocryphal story of your birth incorporating, as Lam does, a fantastical tone.",
"“Where is the homeland / to lay a cradle for the dead / Where is the other shore / for poetry to step across the end point / Where is the peace / that lets the days distribute blue sky...” In Sidetracks, forthcoming in May from New Directions, the Chinese poet Bei Dao begins his book-length poem with a list of twenty-five enigmatic questions that dance around mythological, philosophical, and existential subjects. In Jeffrey Yang’s translation, the speaker’s questions lack the end punctuation of the original text, with question marks omitted. Through these unanswered questions, the poet conjures loss and nostalgia. Loosely following this structure, write a prologue to a poem that poses a series of questions gesturing toward your most pressing uncertainties. While Bei Dao’s lines are mysterious and mystical, allow your poem the tone and allusions that feel instinctive to you.",
"“You are a hundred wild centuries // And fifteen, bringing with you / In every breath and in every step // Everyone who has come before you,” writes Alberto Ríos in his poem “A House Called Tomorrow,” in which he challenges readers to consider their place in building a better world. In the poem, fitting for the new year, Ríos writes about the weight of the past, then sounds a hopeful note: “Look back only for as long as you must, / Then go forward into the history you will make.” Write a poem about your relationship to the past—your connection to the “wild centuries” of history as well as your own personal past, from early childhood to recent years marked by the private and public transformations of time. Try to include your own revelations along with the inspiration that propels you forward into a new tomorrow.",
"“You are about to begin reading Italo Calvino’s new novel, If on a winter’s night a traveler. Relax. Concentrate. Dispel every other thought. Let the world around you fade,” wrote Italo Calvino on the first page of his 1979 novel, translated from the Italian by William Weaver. Calvino’s postmodern structure comprises twenty-two sections, with each odd-numbered passage narrated by a second-person “you” (you, the reader; you, a character). Each even-numbered passage, in turn, is the start of a new work, a fictional book that the “you” character discovers and reads, only to find that it ends abruptly and picks up in the next even-numbered passage as an entirely different work. Taking a cue from this puzzle of an approach, compose a poem that alternates between two narratives united by a winter’s night. How might a second-person “you” character be utilized in your poem? Is there an emotional progression connected to the accumulation of images and themes?",
"“You have changed me already. I am a fireball / That is hurtling towards the sky to where you are,” begins Dorothea Lasky’s “Poem to an Unnameable Man” from her 2010 collection, Black Life. The poem’s speaker regales their addressee with the projected story of their intense connection, as Lasky incorporates cosmic imagery, a confessional tone, and grandiose language combined with an intimate, idiosyncratic voice. This week write a poem that traverses the galaxy and addresses someone or something you feel tethered to, as if you’re “hurtling towards” them. As you write, play around with figurative language that points to both sizable and smaller, nuanced observations.",
